number oder,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,PreTest,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,Date
1688,male,group D,associate's degree,free/reduced,none,77,78,73,10-May,regularly,no,2,school_bus,10/12/2022
1689,male,group A,high school,free/reduced,none,53,58,44,> 10,sometimes,yes,4,school_bus,10/13/2022
1690,male,group E,some college,free/reduced,none,93,90,NULL,< 5,never,yes,4,,10/14/2022
1691,female,group C,associate's degree,standard,none,49,53,53,> 10,sometimes,yes,3,school_bus,10/15/2022
1692,female,group E,associate's degree,free/reduced,none,73,76,78,10-May,regularly,yes,0,school_bus,10/16/2022
1693,female,group C,bachelor's degree,free/reduced,completed,66,74,81,< 5,sometimes,yes,NULL,NULL,10/17/2022
1694,female,group D,associate's degree,standard,none,77,77,73,< 5,NULL,no,3,private,10/18/2022
1695,female,NULL,some high school,standard,none,49,63,56,< 5,sometimes,yes,5,NULL,10/19/2022
1696,female,group D,some college,free/reduced,none,NULL,89,86,< 5,sometimes,,0,NULL,10/20/2022
1697,female,group C,associate's degree,standard,completed,75,82,90,> 10,never,yes,2,private,10/21/2022
1698,female,group A,bachelor's degree,NULL,none,59,72,70,10-May,sometimes,yes,,,10/22/2022
1699,female,group D,associate's degree,standard,completed,57,78,79,> 10,never,yes,1,school_bus,10/23/2022
1700,NULL,group C,high school,free/reduced,none,66,66,59,< 5,sometimes,no,5,private,10/24/2022
1701,female,group E,bachelor's degree,standard,completed,79,81,82,10-May,regularly,yes,0,,10/25/2022
1702,female,group B,some high school,standard,none,57,67,72,10-May,sometimes,no,6,school_bus,10/26/2022
1703,male,NULL,bachelor's degree,standard,completed,87,84,87,10-May,,no,2,NULL,10/27/2022
1704,female,group D,some college,standard,none,63,64,67,10-May,regularly,yes,0,private,10/28/2022
1705,female,group B,some high school,free/reduced,completed,59,63,64,> 10,never,yes,2,,10/29/2022
1706,male,NULL,bachelor's degree,free/reduced,none,62,72,65,10-May,sometimes,yes,1,NULL,10/30/2022
1707,male,group D,high school,standard,none,46,34,36,10-May,sometimes,yes,4,private,10/31/2022
1708,male,group C,some college,standard,none,NULL,59,52,10-May,sometimes,yes,4,NULL,11/1/2022
1709,male,group D,high school,standard,none,89,87,79,10-May,regularly,yes,2,private,11/2/2022
1710,female,group D,associate's degree,free/reduced,completed,42,61,58,< 5,NULL,no,4,private,11/3/2022
1711,male,group C,some college,standard,completed,93,84,90,10-May,regularly,yes,1,,11/4/2022
1712,female,group E,some high school,standard,completed,80,85,85,10-May,sometimes,yes,1,school_bus,11/5/2022
1713,female,group D,some college,standard,none,98,100,NULL,10-May,sometimes,no,4,school_bus,11/6/2022
1714,male,group D,master's degree,standard,none,81,81,84,10-May,sometimes,yes,4,school_bus,11/7/2022
1715,female,group B,some high school,standard,completed,60,70,NULL,,sometimes,no,2,NULL,11/8/2022
1716,female,group B,associate's degree,NULL,completed,76,94,87,> 10,never,yes,1,private,11/9/2022
1717,male,group C,NULL,standard,completed,73,NULL,72,,never,yes,1,private,11/10/2022
1718,female,group C,associate's degree,NULL,completed,96,96,99,10-May,sometimes,no,1,private,11/11/2022
1719,female,group C,high school,NULL,none,76,76,74,10-May,regularly,yes,4,school_bus,11/12/2022
1720,male,group E,associate's degree,free/reduced,completed,91,73,80,> 10,sometimes,yes,4,school_bus,11/13/2022
1721,female,group C,some college,free/reduced,none,62,72,70,> 10,sometimes,no,2,private,11/14/2022
1722,male,group D,some high school,free/reduced,completed,55,59,59,10-May,sometimes,no,NULL,,11/15/2022
1723,female,group B,some high school,free/reduced,completed,74,90,88,10-May,regularly,yes,5,private,11/16/2022
1724,male,group C,high school,standard,none,50,48,42,10-May,sometimes,yes,1,school_bus,11/17/2022
1725,male,group B,some college,standard,none,47,43,41,10-May,sometimes,yes,1,school_bus,11/18/2022
1726,male,group E,some college,NULL,completed,81,74,71,10-May,sometimes,yes,1,NULL,11/19/2022
1727,female,group E,associate's degree,standard,NULL,65,75,77,10-May,never,no,4,school_bus,11/20/2022
1728,male,group E,some high school,standard,completed,68,51,57,10-May,never,yes,2,private,11/21/2022
1729,female,group D,high school,free/reduced,none,73,92,84,10-May,sometimes,yes,0,school_bus,11/22/2022
1730,male,group C,some college,standard,none,53,39,37,10-May,sometimes,yes,0,school_bus,11/23/2022
1731,female,group B,associate's degree,free/reduced,NULL,68,77,80,< 5,regularly,yes,1,,11/24/2022
1732,male,group A,some high school,free/reduced,none,55,46,43,10-May,NULL,yes,0,school_bus,11/25/2022
1733,female,group C,some college,standard,completed,87,89,94,> 10,never,yes,1,private,11/26/2022
1734,male,group D,some high school,standard,none,55,47,44,10-May,never,yes,1,school_bus,11/27/2022
1735,female,group E,some college,free/reduced,none,53,NULL,57,< 5,sometimes,yes,0,private,11/28/2022
1736,male,group C,master's degree,standard,none,67,57,59,> 10,regularly,yes,3,school_bus,NULL
1737,male,group C,associate's degree,NULL,none,92,79,84,< 5,never,yes,0,school_bus,11/30/2022
1738,female,NULL,some college,free/reduced,completed,53,66,73,10-May,sometimes,yes,3,school_bus,12/1/2022
1739,male,group D,associate's degree,standard,none,81,71,73,10-May,never,no,3,school_bus,12/2/2022
1740,male,group C,high school,free/reduced,none,61,60,55,NULL,regularly,yes,4,private,12/3/2022
1741,male,group D,bachelor's degree,standard,none,80,73,72,< 5,regularly,NULL,1,private,12/4/2022
1742,female,group A,associate's degree,free/reduced,none,37,57,56,10-May,regularly,no,4,private,12/5/2022
1743,female,group C,high school,standard,none,81,84,82,> 10,sometimes,yes,,NULL,12/6/2022
1744,female,group C,associate's degree,standard,completed,59,73,72,10-May,NULL,no,1,school_bus,12/7/2022
1745,male,group B,some college,NULL,none,55,55,47,10-May,regularly,no,2,school_bus,12/8/2022
1746,male,group D,associate's degree,standard,none,72,79,74,< 5,sometimes,yes,1,school_bus,12/9/2022
1747,male,group D,high school,standard,none,NULL,75,71,10-May,sometimes,no,4,school_bus,12/10/2022
1748,male,group C,some college,standard,none,69,64,68,10-May,NULL,yes,4,school_bus,12/11/2022
1749,female,group C,bachelor's degree,free/reduced,none,50,60,59,< 5,sometimes,no,3,school_bus,12/12/2022
1750,male,group B,some college,standard,completed,87,84,86,10-May,sometimes,no,2,private,12/13/2022
1751,male,group D,some high school,standard,completed,71,69,68,10-May,regularly,yes,1,school_bus,12/14/2022
1752,male,group E,some college,standard,none,68,72,65,< 5,regularly,no,4,private,12/15/2022
1753,male,group C,master's degree,free/reduced,completed,79,77,75,10-May,regularly,yes,NULL,school_bus,12/16/2022
1754,female,group C,some high school,standard,completed,77,90,85,10-May,sometimes,yes,3,private,12/17/2022
1755,male,group C,associate's degree,free/reduced,none,58,55,53,> 10,sometimes,yes,,private,12/18/2022
1756,female,group E,associate's degree,standard,none,84,95,92,> 10,regularly,yes,2,school_bus,12/19/2022
1757,male,group D,some college,standard,none,55,58,52,< 5,regularly,yes,0,school_bus,12/20/2022
1758,male,group E,bachelor's degree,free/reduced,completed,70,68,NULL,< 5,never,no,1,private,12/21/2022
1759,female,group D,some college,free/reduced,completed,52,59,65,10-May,regularly,yes,1,NULL,NULL
1760,male,group B,some college,standard,completed,69,77,77,10-May,regularly,no,3,private,12/23/2022
1761,female,group C,high school,free/reduced,none,53,72,64,10-May,sometimes,yes,0,NULL,12/24/2022
1762,female,group D,some high school,standard,none,48,58,54,10-May,sometimes,yes,0,school_bus,12/25/2022
1763,male,group D,some high school,standard,completed,78,NULL,86,NULL,sometimes,no,4,private,12/26/2022
1764,female,group B,high school,standard,none,62,62,63,10-May,never,yes,,school_bus,12/27/2022
1765,male,group D,some college,standard,none,60,63,59,10-May,,no,2,,12/28/2022
1766,female,group B,high school,standard,none,74,72,NULL,10-May,regularly,yes,1,school_bus,12/29/2022
1767,female,group C,high school,standard,completed,58,75,77,10-May,never,yes,3,school_bus,12/30/2022
1768,male,group B,high school,standard,completed,76,62,60,< 5,sometimes,yes,3,,12/31/2022
1769,NULL,group D,some high school,standard,none,68,71,75,< 5,sometimes,yes,NULL,school_bus,1/1/2022
1770,male,group A,some college,free/reduced,none,58,60,57,> 10,sometimes,no,4,,1/2/2022
1771,male,NULL,high school,standard,none,52,48,49,10-May,sometimes,yes,5,private,1/3/2022
1772,male,group D,bachelor's degree,standard,none,75,73,74,10-May,sometimes,yes,3,NULL,1/4/2022
1773,female,group B,some high school,free/reduced,completed,52,67,72,10-May,sometimes,no,1,private,1/5/2022
1774,female,group C,bachelor's degree,free/reduced,none,62,78,79,> 10,sometimes,yes,1,school_bus,1/6/2022
1775,male,group B,NULL,standard,none,66,65,60,< 5,regularly,yes,3,school_bus,1/7/2022
1776,female,group B,some high school,free/reduced,none,49,58,55,> 10,sometimes,yes,2,school_bus,1/8/2022
1777,female,group B,NULL,standard,none,66,72,70,> 10,sometimes,yes,,school_bus,1/9/2022
1778,female,group C,some college,free/reduced,none,35,44,43,10-May,regularly,no,2,NULL,1/10/2022
1779,female,group A,NULL,standard,completed,72,79,82,10-May,regularly,yes,0,school_bus,1/11/2022
1780,male,group E,associate's degree,standard,completed,94,85,82,10-May,sometimes,yes,1,private,1/12/2022
1781,female,group D,associate's degree,free/reduced,none,46,56,57,< 5,sometimes,no,3,private,1/13/2022
1782,NULL,group B,master's degree,standard,none,77,90,84,10-May,,yes,3,school_bus,1/14/2022
1783,female,NULL,high school,free/reduced,completed,76,85,82,10-May,regularly,yes,1,private,1/15/2022
1784,female,group C,associate's degree,standard,completed,52,59,62,> 10,NULL,no,3,private,1/16/2022
1785,male,group C,bachelor's degree,NULL,completed,91,81,79,< 5,regularly,,NULL,school_bus,1/17/2022
1786,female,group B,some high school,NULL,completed,32,51,44,10-May,sometimes,yes,3,school_bus,1/18/2022
1787,female,group E,some high school,free/reduced,none,72,79,77,< 5,regularly,yes,2,school_bus,1/19/2022
1788,female,group B,some college,standard,none,19,38,32,< 5,regularly,yes,0,school_bus,1/20/2022
1789,male,group C,associate's degree,free/reduced,none,68,65,61,> 10,regularly,NULL,3,school_bus,1/21/2022
1790,female,group C,NULL,free/reduced,none,52,65,61,10-May,regularly,,NULL,school_bus,1/22/2022
1791,female,group B,high school,standard,none,48,62,60,> 10,never,yes,1,school_bus,NULL
1792,female,group D,some college,free/reduced,none,60,66,70,10-May,regularly,yes,2,school_bus,1/24/2022
1793,male,group D,high school,free/reduced,none,66,74,69,10-May,regularly,yes,2,school_bus,1/25/2022
1794,male,group E,some high school,standard,completed,89,84,77,> 10,regularly,no,3,private,1/26/2022
1795,female,group B,high school,standard,none,42,52,51,> 10,regularly,yes,6,school_bus,1/27/2022
1796,female,group E,associate's degree,free/reduced,NULL,57,68,73,< 5,regularly,yes,1,school_bus,1/28/2022
1797,male,group D,high school,NULL,none,70,70,70,10-May,sometimes,yes,4,school_bus,1/29/2022
1798,female,group E,NULL,free/reduced,none,70,84,81,10-May,regularly,yes,0,school_bus,1/30/2022
1799,male,group E,some college,NULL,none,69,60,NULL,> 10,sometimes,no,2,private,1/31/2022
1800,female,NULL,associate's degree,standard,none,52,55,57,> 10,sometimes,yes,2,school_bus,2/1/2022
1801,male,group C,some high school,standard,completed,67,73,68,< 5,regularly,yes,0,school_bus,2/2/2022
1802,male,group C,some high school,standard,completed,76,80,73,< 5,sometimes,yes,1,NULL,2/3/2022
1803,female,group E,associate's degree,standard,none,87,94,95,10-May,sometimes,yes,NULL,NULL,2/4/2022
1804,female,group B,some college,standard,none,82,85,87,10-May,regularly,no,4,private,2/5/2022
1805,female,group C,some college,standard,none,73,76,78,10-May,NULL,yes,0,school_bus,2/6/2022
1806,male,group A,some college,free/reduced,none,75,81,74,10-May,never,yes,2,,2/7/2022
1807,female,NULL,some college,free/reduced,none,64,74,75,< 5,sometimes,yes,3,private,2/8/2022
1808,NULL,group E,high school,free/reduced,none,41,45,40,NULL,regularly,no,1,,2/9/2022
1809,male,group C,high school,standard,none,90,75,69,< 5,never,no,2,private,2/10/2022
1810,male,group B,bachelor's degree,standard,none,59,54,51,10-May,NULL,yes,2,school_bus,2/11/2022
1811,male,group A,some high school,NULL,none,51,31,36,< 5,regularly,yes,0,private,2/12/2022
1812,male,group A,high school,free/reduced,none,45,47,49,10-May,regularly,no,1,school_bus,NULL
1813,female,group C,master's degree,standard,completed,54,64,67,10-May,regularly,no,2,private,2/14/2022
1814,male,group E,some high school,standard,completed,87,84,76,10-May,regularly,,3,school_bus,2/15/2022
1815,female,group C,high school,standard,none,72,80,83,10-May,sometimes,yes,3,school_bus,2/16/2022
1816,male,group B,some high school,standard,completed,94,86,87,10-May,never,yes,,school_bus,2/17/2022
1817,female,group A,bachelor's degree,standard,NULL,45,59,64,> 10,sometimes,yes,4,school_bus,2/18/2022
1818,male,NULL,bachelor's degree,free/reduced,completed,61,70,76,< 5,sometimes,no,NULL,private,2/19/2022
1819,female,group B,high school,free/reduced,none,60,72,68,< 5,regularly,yes,1,private,2/20/2022
1820,female,group C,NULL,standard,none,77,91,88,10-May,regularly,yes,3,school_bus,2/21/2022
1821,female,group A,some high school,standard,completed,85,90,92,10-May,never,no,3,school_bus,2/22/2022
1822,female,NULL,bachelor's degree,free/reduced,none,78,90,93,< 5,regularly,NULL,1,,2/23/2022
1823,male,group E,some college,free/reduced,completed,49,52,51,> 10,sometimes,yes,3,school_bus,2/24/2022
1824,female,group B,high school,NULL,none,71,87,82,> 10,regularly,,2,school_bus,2/25/2022
1825,NULL,group C,some high school,NULL,none,48,NULL,52,10-May,NULL,yes,1,school_bus,2/26/2022
1826,male,group C,high school,standard,none,62,67,58,10-May,sometimes,yes,1,private,2/27/2022
1827,female,group C,associate's degree,free/reduced,completed,56,68,70,< 5,never,yes,1,school_bus,2/28/2022
1828,female,group C,some high school,standard,none,65,69,76,< 5,sometimes,yes,NULL,private,NULL
1829,female,group D,some high school,free/reduced,completed,69,86,81,10-May,sometimes,no,7,school_bus,3/2/2022
1830,male,group B,some high school,standard,none,68,54,53,10-May,sometimes,yes,3,school_bus,3/3/2022
1831,female,group A,some college,free/reduced,none,61,60,57,10-May,sometimes,yes,NULL,private,3/4/2022
1832,female,group C,bachelor's degree,free/reduced,completed,NULL,86,89,,NULL,no,3,private,3/5/2022
1833,male,group A,bachelor's degree,standard,none,64,60,58,10-May,sometimes,no,3,NULL,3/6/2022
1834,female,group B,high school,standard,completed,77,82,89,< 5,sometimes,yes,3,school_bus,3/7/2022
1835,male,group B,some college,standard,none,58,50,45,< 5,regularly,no,3,school_bus,3/8/2022
1836,female,group C,high school,standard,completed,60,NULL,74,> 10,regularly,yes,5,private,3/9/2022
1837,male,group E,high school,standard,none,73,64,57,> 10,sometimes,yes,1,school_bus,NULL
1838,female,group A,NULL,standard,completed,75,NULL,79,< 5,never,yes,0,,3/11/2022
1839,male,group B,associate's degree,free/reduced,completed,58,57,53,10-May,sometimes,no,,school_bus,3/12/2022
1840,female,group C,associate's degree,standard,none,66,77,73,> 10,regularly,yes,,school_bus,3/13/2022
1841,female,group D,high school,free/reduced,none,39,52,46,10-May,sometimes,no,3,school_bus,3/14/2022
1842,male,group C,some high school,standard,none,64,58,51,NULL,sometimes,no,3,school_bus,3/15/2022
1843,female,NULL,high school,free/reduced,NULL,23,44,36,10-May,regularly,no,1,private,3/16/2022
1844,male,group B,some college,NULL,completed,74,77,76,10-May,regularly,yes,1,school_bus,3/17/2022
1845,female,group D,some high school,free/reduced,completed,40,65,64,,sometimes,yes,2,school_bus,3/18/2022
1846,male,group E,master's degree,standard,none,90,85,84,> 10,sometimes,yes,0,private,3/19/2022
1847,male,group C,master's degree,standard,completed,91,85,85,< 5,never,yes,3,school_bus,3/20/2022
1848,male,group D,high school,standard,none,64,54,50,10-May,regularly,no,5,private,3/21/2022
1849,female,group C,high school,standard,none,59,72,68,10-May,regularly,yes,3,school_bus,NULL
1850,male,group D,associate's degree,standard,none,80,75,69,< 5,regularly,yes,3,private,3/23/2022
1851,male,group C,master's degree,standard,none,71,67,67,< 5,sometimes,no,3,school_bus,3/24/2022
1852,female,group A,high school,standard,none,61,68,63,10-May,sometimes,yes,1,private,3/25/2022
1853,female,group E,some college,standard,none,87,85,93,10-May,sometimes,no,3,private,3/26/2022
1854,male,group E,some high school,standard,none,82,67,61,10-May,sometimes,yes,2,school_bus,3/27/2022
1855,male,group C,some high school,standard,none,62,64,55,NULL,sometimes,yes,0,,3/28/2022
1856,female,group B,bachelor's degree,standard,none,97,97,96,10-May,sometimes,yes,0,private,3/29/2022
1857,male,group B,some college,free/reduced,none,75,68,65,10-May,regularly,yes,4,school_bus,3/30/2022
1858,female,group C,bachelor's degree,standard,none,65,79,81,< 5,never,yes,2,private,3/31/2022
1859,male,group B,high school,standard,completed,52,49,46,< 5,NULL,yes,0,private,4/1/2022
1860,male,group C,associate's degree,free/reduced,none,87,73,72,> 10,regularly,,5,private,4/2/2022
1861,female,group C,associate's degree,standard,none,53,62,53,10-May,sometimes,no,1,school_bus,4/3/2022
1862,female,group E,master's degree,free/reduced,none,81,86,NULL,< 5,sometimes,no,1,NULL,4/4/2022
1863,male,group D,bachelor's degree,free/reduced,completed,39,42,38,10-May,sometimes,yes,3,private,4/5/2022
1864,female,group C,some college,standard,NULL,71,71,80,10-May,regularly,no,NULL,school_bus,4/6/2022
1865,male,group C,associate's degree,standard,none,97,93,91,10-May,sometimes,yes,3,private,4/7/2022
1866,male,group D,some college,standard,completed,82,82,88,< 5,regularly,yes,2,school_bus,4/8/2022
1867,male,group C,high school,NULL,none,59,53,52,> 10,sometimes,yes,2,school_bus,4/9/2022
1868,male,group B,associate's degree,standard,none,61,42,41,10-May,regularly,no,2,private,4/10/2022
1869,male,NULL,associate's degree,free/reduced,completed,78,74,72,10-May,regularly,NULL,7,private,4/11/2022
1870,male,group C,associate's degree,free/reduced,none,49,51,51,< 5,regularly,yes,1,private,4/12/2022
1871,male,group B,high school,standard,none,59,58,47,10-May,regularly,NULL,0,private,4/13/2022
1872,female,group C,some college,standard,completed,70,72,76,10-May,,yes,1,school_bus,4/14/2022
1873,male,group B,associate's degree,standard,completed,NULL,84,78,10-May,regularly,,1,private,4/15/2022
1874,male,group E,associate's degree,free/reduced,none,90,90,82,< 5,regularly,no,1,school_bus,4/16/2022
1875,female,group C,bachelor's degree,free/reduced,none,43,62,61,10-May,sometimes,no,1,school_bus,4/17/2022
1876,male,group C,some college,free/reduced,none,80,64,66,10-May,sometimes,yes,0,school_bus,4/18/2022
1877,male,group D,some college,standard,none,81,82,84,10-May,regularly,no,2,school_bus,4/19/2022
1878,male,group C,some high school,standard,none,NULL,61,54,,sometimes,yes,0,NULL,4/20/2022
1879,female,group D,some high school,standard,none,59,72,80,> 10,sometimes,yes,NULL,school_bus,4/21/2022
1880,female,NULL,associate's degree,standard,none,64,76,74,10-May,sometimes,yes,0,school_bus,4/22/2022
1881,male,group C,bachelor's degree,standard,completed,63,64,66,< 5,never,yes,2,private,4/23/2022
1882,female,group E,bachelor's degree,standard,completed,NULL,70,70,< 5,regularly,yes,2,,4/24/2022
1883,NULL,group B,high school,free/reduced,none,64,73,71,10-May,regularly,yes,2,private,4/25/2022
1884,male,group D,NULL,free/reduced,NULL,55,46,44,< 5,sometimes,yes,5,private,4/26/2022
1885,female,group E,associate's degree,standard,none,51,51,54,> 10,sometimes,no,2,school_bus,4/27/2022
1886,female,group C,associate's degree,standard,completed,62,76,80,10-May,regularly,yes,0,private,4/28/2022
1887,female,group E,associate's degree,standard,completed,93,NULL,95,10-May,never,no,1,school_bus,4/29/2022
1888,male,group C,high school,free/reduced,none,54,72,59,< 5,regularly,yes,1,private,4/30/2022
1889,female,NULL,some college,free/reduced,none,69,65,74,10-May,sometimes,yes,1,private,5/1/2022
1890,male,group D,high school,free/reduced,none,44,51,48,,regularly,yes,4,private,5/2/2022
1891,female,group E,some college,standard,completed,86,85,91,10-May,never,yes,0,school_bus,5/3/2022
1892,female,group E,associate's degree,standard,none,85,92,85,10-May,regularly,no,1,school_bus,5/4/2022
1893,female,group A,master's degree,free/reduced,none,50,67,73,< 5,regularly,yes,0,private,5/5/2022
1894,male,group D,some high school,standard,completed,88,74,75,10-May,sometimes,no,NULL,school_bus,5/6/2022
1895,female,group E,associate's degree,standard,none,59,62,69,NULL,sometimes,yes,3,private,NULL
1896,female,group E,some high school,free/reduced,none,32,34,38,10-May,regularly,no,NULL,school_bus,5/8/2022
1897,male,group B,high school,free/reduced,none,36,29,27,< 5,sometimes,yes,3,private,5/9/2022
1898,female,group B,some high school,free/reduced,completed,63,78,79,< 5,sometimes,yes,1,private,5/10/2022
1899,male,group D,associate's degree,standard,completed,67,54,63,< 5,regularly,no,1,school_bus,5/11/2022
1900,female,group D,some high school,standard,completed,65,78,82,> 10,sometimes,yes,NULL,private,5/12/2022
1901,male,group D,master's degree,standard,none,85,84,89,10-May,never,yes,0,private,5/13/2022
1902,female,group C,master's degree,standard,none,73,78,NULL,,regularly,yes,3,,5/14/2022
1903,female,group A,high school,free/reduced,completed,34,48,41,10-May,sometimes,yes,1,private,5/15/2022
1904,female,group D,bachelor's degree,free/reduced,NULL,93,100,100,10-May,sometimes,no,3,private,5/16/2022
1905,female,group D,some high school,free/reduced,none,67,84,84,< 5,sometimes,yes,2,private,5/17/2022
1906,male,group D,some college,standard,none,88,77,77,> 10,regularly,no,5,school_bus,5/18/2022
1907,male,NULL,high school,standard,none,57,48,51,10-May,regularly,yes,0,private,5/19/2022
1908,female,group D,some college,standard,completed,79,NULL,91,,sometimes,yes,4,school_bus,5/20/2022
1909,female,group C,bachelor's degree,free/reduced,none,67,75,72,< 5,regularly,yes,1,school_bus,5/21/2022
1910,male,group E,bachelor's degree,standard,completed,70,64,70,10-May,sometimes,,3,private,5/22/2022
1911,male,group D,bachelor's degree,free/reduced,none,50,42,48,10-May,regularly,no,2,school_bus,5/23/2022
1912,female,group A,some college,standard,none,69,84,82,10-May,regularly,yes,4,school_bus,5/24/2022
1913,female,group C,bachelor's degree,standard,completed,52,61,66,10-May,regularly,no,3,school_bus,5/25/2022
1914,female,group C,bachelor's degree,free/reduced,completed,47,62,66,10-May,never,yes,1,school_bus,5/26/2022
1915,NULL,group B,associate's degree,free/reduced,none,46,61,55,10-May,sometimes,no,4,school_bus,5/27/2022
1916,female,group E,some college,standard,none,68,70,66,10-May,regularly,yes,,school_bus,5/28/2022
1917,male,group E,bachelor's degree,standard,completed,100,100,100,10-May,regularly,yes,1,NULL,5/29/2022
1918,female,group C,high school,standard,NULL,44,61,52,< 5,never,yes,4,school_bus,5/30/2022
1919,female,group C,associate's degree,standard,completed,57,77,80,,regularly,yes,1,school_bus,5/31/2022
1920,male,group B,some college,standard,completed,91,96,91,10-May,never,yes,1,school_bus,6/1/2022
1921,male,group D,high school,free/reduced,none,69,70,67,10-May,regularly,yes,0,school_bus,6/2/2022
1922,female,group C,high school,free/reduced,none,35,53,46,> 10,regularly,yes,2,NULL,6/3/2022
1923,male,group D,high school,standard,none,72,66,NULL,10-May,regularly,,3,school_bus,6/4/2022
1924,female,group B,associate's degree,free/reduced,none,54,65,65,< 5,regularly,yes,3,,6/5/2022
1925,male,group D,high school,free/reduced,none,74,70,69,< 5,sometimes,no,2,school_bus,6/6/2022
1926,male,group E,some high school,standard,completed,74,64,60,< 5,sometimes,yes,1,school_bus,6/7/2022
1927,male,group E,associate's degree,free/reduced,none,64,56,52,< 5,regularly,yes,5,private,6/8/2022
1928,female,group D,high school,free/reduced,completed,65,61,71,10-May,sometimes,no,3,private,6/9/2022
1929,male,group E,associate's degree,free/reduced,completed,46,43,44,10-May,sometimes,yes,1,private,6/10/2022
1930,female,group C,some high school,free/reduced,none,48,56,51,10-May,regularly,no,2,school_bus,6/11/2022
1931,male,group C,some college,free/reduced,completed,67,74,70,< 5,sometimes,yes,4,,6/12/2022
1932,male,group D,NULL,NULL,none,62,57,62,> 10,regularly,yes,1,,6/13/2022
1933,male,group D,NULL,free/reduced,completed,61,71,73,10-May,NULL,yes,6,school_bus,NULL
1934,male,group C,bachelor's degree,free/reduced,completed,70,75,74,< 5,regularly,no,1,private,6/15/2022
1935,male,group C,associate's degree,standard,completed,98,87,90,10-May,never,yes,,,6/16/2022
1936,male,group D,some college,free/reduced,none,70,63,58,10-May,regularly,yes,0,school_bus,6/17/2022
1937,male,group A,associate's degree,standard,none,67,57,53,10-May,sometimes,no,5,school_bus,6/18/2022
1938,female,group E,high school,free/reduced,none,57,58,57,10-May,regularly,yes,3,school_bus,6/19/2022
1939,male,group D,some college,standard,completed,85,81,85,10-May,regularly,yes,1,school_bus,6/20/2022
1940,male,group D,some high school,standard,completed,77,NULL,69,10-May,regularly,no,1,school_bus,6/21/2022
1941,male,group C,master's degree,free/reduced,completed,72,66,72,10-May,sometimes,yes,1,school_bus,6/22/2022
1942,female,group D,master's degree,NULL,none,78,91,96,10-May,sometimes,yes,3,school_bus,6/23/2022
1943,male,group C,high school,standard,NULL,81,66,64,> 10,regularly,no,7,school_bus,6/24/2022
1944,male,group A,some high school,free/reduced,NULL,61,62,61,10-May,never,no,2,school_bus,6/25/2022
1945,female,group B,high school,standard,none,58,68,61,< 5,regularly,yes,2,school_bus,6/26/2022
1946,female,group C,associate's degree,standard,none,54,61,58,10-May,sometimes,no,2,school_bus,6/27/2022
1947,male,group B,high school,standard,none,82,82,80,10-May,sometimes,yes,3,school_bus,6/28/2022
1948,female,group D,some college,free/reduced,none,49,58,60,> 10,regularly,yes,1,NULL,6/29/2022
1949,male,group B,some high school,free/reduced,completed,49,50,52,10-May,never,yes,0,private,6/30/2022
1950,female,group E,high school,free/reduced,completed,57,75,73,< 5,sometimes,NULL,NULL,school_bus,7/1/2022
1951,male,group E,high school,standard,none,94,73,71,10-May,regularly,no,1,private,7/2/2022
1952,female,group D,some college,standard,completed,75,77,83,,regularly,no,,private,7/3/2022
1953,female,group E,some high school,free/reduced,none,74,74,72,10-May,regularly,yes,2,private,7/4/2022
1954,male,group C,high school,standard,completed,58,52,54,< 5,regularly,yes,0,school_bus,7/5/2022
1955,female,group C,some college,NULL,none,62,69,69,< 5,,yes,3,private,7/6/2022
1956,male,group E,associate's degree,standard,none,72,57,62,< 5,regularly,no,1,private,7/7/2022
1957,male,group C,some college,standard,none,84,87,81,> 10,regularly,yes,,private,7/8/2022
1958,female,NULL,master's degree,standard,none,92,100,100,> 10,sometimes,no,2,school_bus,7/9/2022
1959,female,group D,high school,standard,none,45,63,59,NULL,regularly,yes,4,school_bus,7/10/2022
1960,male,group C,high school,standard,none,75,81,71,< 5,never,yes,3,school_bus,7/11/2022
1961,NULL,group A,some college,standard,none,56,58,64,10-May,sometimes,yes,2,private,7/12/2022
1962,female,group D,some high school,free/reduced,none,48,54,53,< 5,sometimes,yes,1,school_bus,7/13/2022
1963,female,group E,associate's degree,standard,none,100,100,100,< 5,sometimes,yes,0,school_bus,7/14/2022
1964,female,group C,some high school,free/reduced,completed,65,76,75,10-May,regularly,no,1,private,7/15/2022
1965,male,group D,some college,standard,none,72,57,58,10-May,sometimes,yes,1,school_bus,7/16/2022
1966,female,group D,some college,standard,none,62,70,72,10-May,regularly,yes,1,school_bus,7/17/2022
1967,male,group A,some high school,standard,completed,66,68,64,> 10,never,yes,2,,7/18/2022
1968,male,group C,some college,standard,none,63,63,60,> 10,sometimes,yes,0,,7/19/2022
1969,female,NULL,associate's degree,standard,none,68,76,67,10-May,NULL,yes,3,private,7/20/2022
1970,female,group B,bachelor's degree,standard,none,75,84,80,< 5,sometimes,yes,2,school_bus,7/21/2022
1971,female,group D,bachelor's degree,standard,none,89,100,100,> 10,sometimes,yes,0,school_bus,7/22/2022
1972,male,group C,some high school,standard,completed,78,72,69,10-May,regularly,NULL,0,private,7/23/2022
1973,female,group A,high school,free/reduced,completed,53,50,60,10-May,sometimes,no,1,private,7/24/2022
